Date,Adj Close,Close,High,Low,Open,Volume
2019-10-30,171.4489899,177.5299988,177.8800049,173.9360046,175.4199982,10213200
2019-10-31,170.618454,176.6699982,179.2400055,175.5,179.1600037,15119000
2019-11-01,170.4156647,176.4600067,182.1199951,176.0599976,179.0099945,28924100
2019-11-04,173.5350189,179.6900024,182.3999939,178.0200043,180.6600037,44541200
2019-11-05,175.7658844,182.0,183.1999969,180.3099976,181.4199982,23690200
2019-11-06,177.8518982,184.1600037,185.0,182.1999969,183.6100006,14834900
2019-11-07,180.2662659,186.6600037,188.0700073,184.6900024,187.0700073,20162600
2019-11-08,180.7491455,187.1600037,188.2799988,185.1499939,187.9019928,19718100
2019-11-11,180.3145599,186.7100067,187.1999969,181.3699951,184.8200073,20561500
2019-11-12,180.5656433,186.9700012,187.6499939,185.1399994,185.9100037,11797600
2019-11-13,176.2294312,182.4799957,185.673996,181.0,185.4700012,14977700
2019-11-14,176.5384827,182.8000031,184.5,181.3209991,182.8699951,12712800
2019-11-15,179.1363525,185.4900055,185.6000061,183.7100067,184.0,11296400
2019-11-18,178.2864838,184.6100006,186.9799957,184.1600037,186.9799957,11822900
2019-11-19,178.9045563,185.25,186.7100067,183.8699951,186.3099976,13407200
2019-11-20,176.1038971,182.3500061,183.6999969,181.0599976,183.6699982,16684600
2019-11-21,178.5279236,184.8600006,184.8899994,181.6000061,181.7700043,10254700
2019-11-22,180.3821411,186.7799988,186.7799988,183.9349976,185.8000031,10541000
2019-11-25,183.9264374,190.4499969,190.7200012,187.8800049,188.3200073,19157700
2019-11-26,188.0308685,194.6999969,195.0,189.0399933,190.3899994,51832300
2019-11-27,193.9412537,200.8200073,200.9799957,197.0,197.2400055,33040500
2019-11-29,193.1493225,200.0,200.4299927,198.3500061,199.8099976,18593100
2019-12-02,189.5857086,196.3099976,198.6699982,193.5099945,198.5800018,19357700
2019-12-03,188.2240143,194.8999939,195.0,189.8500061,190.9700012,18355300
2019-12-04,187.1037598,193.7400055,196.6600037,193.2299957,195.5299988,14849300
2019-12-05,193.1493225,200.0,200.9400024,196.4299927,196.9299927,22290200
2019-12-06,194.9745789,201.8899994,202.0,199.5099945,201.1100006,14087300
2019-12-09,191.9324951,198.7400055,203.4299927,198.5500031,200.3200073,14258100
2019-12-10,193.5839081,200.4499969,202.4799957,199.2299957,200.7100067,11623900
2019-12-11,197.6303864,204.6399994,204.8000031,200.7200012,201.1000061,11760000
2019-12-12,197.4951935,204.5,206.0,202.0,203.7100067,22448600
2019-12-13,197.8911438,204.9100037,207.1000061,203.7700043,205.7599945,19270400
2019-12-16,199.8805695,206.9700012,209.1499939,206.1900024,206.3300018,16734300
2019-12-17,201.0491333,208.1799927,208.8699951,206.8200073,208.6900024,11287600
2019-12-18,202.806778,210.0,210.0500031,208.0399933,208.5299988,13481800
2019-12-19,202.9323425,210.1300049,211.3699951,209.2299957,209.6100006,12167300
2019-12-20,204.9797211,212.25,213.9799957,210.4199982,211.3500061,26670000
2019-12-23,207.471344,214.8300018,215.0500031,212.9100037,213.25,12535000
2019-12-24,206.9208679,214.2599945,215.4299927,213.3500061,215.0099945,5523000
2019-12-26,208.9682465,216.3800049,216.9900055,214.3300018,214.6499939,6907100
2019-12-27,208.0894165,215.4700012,218.1100006,215.1699982,217.9900055,11674200
2019-12-30,205.6171265,212.9100037,215.7799988,211.7599945,215.7799988,8732600
2019-12-31,204.8348694,212.1000061,213.6399994,210.7299957,212.0,6773600
2020-01-02,212.2421265,219.7700043,219.9799957,216.5399933,216.6000061,15873500
2020-01-03,209.5670166,217.0,218.2030029,216.0099945,216.3500061,8604500
2020-01-06,209.2193451,216.6399994,217.1600037,214.0899963,214.8899994,11885500
2020-01-07,210.1754456,217.6300049,218.9400024,216.6900024,217.6399994,9388000
2020-01-08,210.5327606,218.0,220.6499939,216.3200073,216.6000061,11959100
2020-01-09,214.1832886,221.7799988,223.0800018,220.8200073,221.5,13122500
2020-01-10,216.1630707,223.8300018,225.9600067,222.0610046,223.8999939,12296000
2020-01-13,222.5852661,230.4799957,231.1399994,227.0399933,228.8099976,17544800
2020-01-14,218.7319641,226.4900055,230.1750031,224.8800049,230.0500031,17266900
2020-01-15,217.3509369,225.0599976,227.8200073,224.3899994,226.6499939,10743400
2020-01-16,216.2693024,223.9400024,226.3300018,222.7299957,226.3000031,13700500
2020-01-17,219.6397552,227.4299927,228.0,225.3500061,225.8999939,12956200
2020-01-21,214.6468353,222.2599945,222.6000061,220.7299957,222.4499969,15831100
2020-01-22,214.753067,222.3699951,225.5800018,222.0,224.6900024,10059600
2020-01-23,211.6240692,219.1300049,220.1300049,216.7700043,217.9299927,18519900
2020-01-24,206.4283447,213.75,219.8300018,211.3249969,218.4900055,18143900
2020-01-27,198.4319611,205.4700012,208.0200043,199.5,201.2200012,24574700
2020-01-28,203.0289154,210.2299957,210.9100037,207.1699982,209.7400055,16196700
2020-01-29,204.7576141,212.0200043,213.9799957,209.5200043,212.5599976,12871900
2020-01-30,201.4354401,208.5800018,209.8600006,205.0299988,207.8800049,14376000
2020-01-31,199.5135956,206.5899963,207.9299927,204.7279968,206.5,18181400
2020-02-03,205.8006134,213.1000061,215.0200043,208.6699982,208.6699982,14118800
2020-02-04,215.2456055,222.8800049,224.3800049,220.4900055,221.3500061,16695100
2020-02-05,212.676712,220.2200012,226.6999969,217.5399933,226.5200043,15766100
2020-02-06,213.3334198,220.8999939,223.6499939,219.7799988,223.1300049,10790800
2020-02-07,209.1131134,216.5299988,217.8399963,214.8800049,217.4600067,13790300
2020-02-10,208.3791504,215.7700043,215.7700043,212.1999969,213.5,17420300
2020-02-11,209.7698364,217.2100067,220.0099945,215.2899933,219.9100037,16073500
2020-02-12,216.6266174,224.3099976,225.5200043,220.2100067,221.1300049,18671900
2020-02-13,212.8119354,220.3600006,225.0,218.9900055,220.0,28069700
2020-02-14,212.1069336,219.6300049,221.6399994,218.2299957,221.1000061,10690000
2020-02-18,212.9664612,220.5200043,220.8500061,217.5099945,218.5500031,12987000
2020-02-19,214.5309448,222.1399994,223.5599976,220.75,221.5200043,10798100
2020-02-20,210.5713806,218.0399933,222.5,214.2200012,222.5,14950100
2020-02-21,205.308075,212.5899963,217.6000061,211.5599976,217.5399933,17681200
2020-02-24,199.0983276,206.1600037,207.2799988,202.5099945,203.5500031,19380200
2020-02-25,198.5671692,205.6100006,209.9499969,204.1000061,208.5099945,18132400
2020-02-26,201.5899658,208.7400055,213.0800018,206.7899933,206.8000031,19482100
2020-02-27,198.0070343,205.0299988,209.9700012,201.8600006,205.0099945,22741200
2020-02-28,200.8752899,208.0,208.9199982,198.5610046,198.9799957,31251100
2020-03-02,203.7532196,210.9799957,211.1100006,203.7559967,208.5899963,21542200
2020-03-03,200.3055115,207.4100037,211.3899994,202.2400055,211.0800018,20813800
2020-03-04,204.6996613,211.9600067,212.6999969,208.8500061,209.4900055,12474400
2020-03-05,204.2167816,211.4600067,215.1499939,209.1399994,210.0,13462900
2020-03-06,197.6303864,204.6399994,207.0,201.1000061,206.6999969,21700500
2020-03-09,190.8894806,197.6600037,199.8899994,193.9299927,195.6199951,25502600
2020-03-10,199.3204498,206.3899994,207.4499969,200.8000031,205.5299988,19022600
2020-03-11,192.0966644,198.9100037,203.1000061,196.1100006,201.6499939,18908200
